id,item_id,store_id,category,risk,risk_score,velocity_percentile,forecast_7d,recent_daily_sales_28d,sales_trend_28,current_price,scenario_elasticity,elasticity_source,elasticity_weeks,recommended_discount_pct,expected_units_7d,expected_revenue_7d,risk_reason,discount_reason
FOODS_1_095_WI_3_evaluation,FOODS_1_095,WI_3,FOODS,MEDIUM,3,0.0588,0.877,0.0,0.0,4.79,-2.663,historical_association,278,5,1.006,4.58,sales velocity is in the bottom 15% of category/store peers; near-term forecast is below its recent demand rate,smallest candidate meeting the scenario uplift and revenue guardrails
HOBBIES_1_336_CA_1_evaluation,HOBBIES_1_336,CA_1,HOBBIES,MEDIUM,3,0.0588,0.877,0.0,0.0,1.88,-1.0,fallback,223,5,0.923,1.65,sales velocity is in the bottom 15% of category/store peers; near-term forecast is below its recent demand rate,smallest candidate meeting the scenario uplift and revenue guardrails
HOUSEHOLD_1_427_CA_2_evaluation,HOUSEHOLD_1_427,CA_2,HOUSEHOLD,MEDIUM,3,0.0625,0.877,0.0,0.0,4.96,-1.0,fallback,247,5,0.923,4.35,sales velocity is in the bottom 15% of category/store peers; near-term forecast is below its recent demand rate,smallest candidate meeting the scenario uplift and revenue guardrails
HOUSEHOLD_1_520_TX_3_evaluation,HOUSEHOLD_1_520,TX_3,HOUSEHOLD,MEDIUM,3,0.0625,0.877,0.0,0.0,5.48,-1.0,fallback,278,5,0.923,4.81,sales velocity is in the bottom 15% of category/store peers; near-term forecast is below its recent demand rate,smallest candidate meeting the scenario uplift and revenue guardrails
HOUSEHOLD_1_253_CA_3_evaluation,HOUSEHOLD_1_253,CA_3,HOUSEHOLD,MEDIUM,3,0.0625,0.877,0.0,0.0,3.47,-1.0,fallback,85,5,0.923,3.04,sales velocity is in the bottom 15% of category/store peers; near-term forecast is below its recent demand rate,smallest candidate meeting the scenario uplift and revenue guardrails
HOUSEHOLD_1_388_TX_1_evaluation,HOUSEHOLD_1_388,TX_1,HOUSEHOLD,MEDIUM,3,0.0625,0.877,0.0,0.0,3.47,-1.0,fallback,84,5,0.923,3.04,sales velocity is in the bottom 15% of category/store peers; near-term forecast is below its recent demand rate,smallest candidate meeting the scenario uplift and revenue guardrails
HOUSEHOLD_1_028_TX_2_evaluation,HOUSEHOLD_1_028,TX_2,HOUSEHOLD,MEDIUM,3,0.0625,0.877,0.0,0.0,2.97,-0.347,historical_association,271,0,0.877,2.61,sales velocity is in the bottom 15% of category/store peers; near-term forecast is below its recent demand rate,no markdown: no candidate met the 5% unit-uplift and 95% revenue guardrails
HOUSEHOLD_2_461_WI_3_evaluation,HOUSEHOLD_2_461,WI_3,HOUSEHOLD,MEDIUM,3,0.0938,0.877,0.036,0.0714,9.97,-1.0,fallback,278,5,0.923,8.75,sales velocity is in the bottom 15% of category/store peers; near-term forecast is below its recent demand rate,smallest candidate meeting the scenario uplift and revenue guardrails
FOODS_3_554_CA_1_evaluation,FOODS_3_554,CA_1,FOODS,MEDIUM,3,0.1176,2.087,0.286,-0.2,3.48,-3.0,historical_association,274,5,2.434,8.05,sales velocity is in the bottom 15% of category/store peers; recent sales trend is declining,smallest candidate meeting the scenario uplift and revenue guardrails
FOODS_2_161_WI_1_evaluation,FOODS_2_161,WI_1,FOODS,MEDIUM,3,0.1176,2.311,0.25,-0.1579,7.47,-1.0,fallback,188,5,2.432,17.26,sales velocity is in the bottom 15% of category/store peers; recent sales trend is declining,smallest candidate meeting the scenario uplift and revenue guardrails
FOODS_3_558_TX_2_evaluation,FOODS_3_558,TX_2,FOODS,MEDIUM,3,0.1176,2.087,0.25,-0.0556,2.98,-2.882,historical_association,278,5,2.42,6.85,sales velocity is in the bottom 15% of category/store peers; recent sales trend is declining,smallest candidate meeting the scenario uplift and revenue guardrails
FOODS_2_252_CA_3_evaluation,FOODS_2_252,CA_3,FOODS,MEDIUM,3,0.1176,1.38,0.357,0.0,3.78,-1.0,fallback,77,5,1.453,5.22,sales velocity is in the bottom 15% of category/store peers; near-term forecast is below its recent demand rate,smallest candidate meeting the scenario uplift and revenue guardrails
HOUSEHOLD_2_134_CA_3_evaluation,HOUSEHOLD_2_134,CA_3,HOUSEHOLD,MEDIUM,3,0.125,1.752,0.179,-0.0588,5.94,-1.0,fallback,276,5,1.844,10.41,sales velocity is in the bottom 15% of category/store peers; recent sales trend is declining,smallest candidate meeting the scenario uplift and revenue guardrails
HOUSEHOLD_1_150_CA_2_evaluation,HOUSEHOLD_1_150,CA_2,HOUSEHOLD,MEDIUM,3,0.1562,0.877,0.107,-0.1765,12.48,-1.0,fallback,222,5,0.923,10.95,sales velocity is in the bottom 35% of category/store peers; recent sales trend is declining; near-term forecast is below its recent demand rate,smallest candidate meeting the scenario uplift and revenue guardrails
HOUSEHOLD_2_504_CA_2_evaluation,HOUSEHOLD_2_504,CA_2,HOUSEHOLD,MEDIUM,3,0.1562,0.877,0.107,-0.0625,1.97,-1.0,fallback,242,5,0.923,1.73,sales velocity is in the bottom 35% of category/store peers; recent sales trend is declining; near-term forecast is below its recent demand rate,smallest candidate meeting the scenario uplift and revenue guardrails
FOODS_3_264_WI_2_evaluation,FOODS_3_264,WI_2,FOODS,MEDIUM,3,0.1765,3.257,0.464,-0.2917,3.98,-1.0,fallback,212,5,3.429,12.96,sales velocity is in the bottom 35% of category/store peers; recent sales trend is declining strongly,smallest candidate meeting the scenario uplift and revenue guardrails
HOBBIES_2_050_TX_2_evaluation,HOBBIES_2_050,TX_2,HOBBIES,MEDIUM,3,0.1765,1.042,0.143,-0.2222,1.97,-1.0,fallback,276,5,1.097,2.05,sales velocity is in the bottom 35% of category/store peers; recent sales trend is declining strongly,smallest candidate meeting the scenario uplift and revenue guardrails
HOBBIES_2_079_CA_2_evaluation,HOBBIES_2_079,CA_2,HOBBIES,MEDIUM,3,0.1765,1.752,0.214,-0.2105,2.47,-1.0,fallback,257,5,1.844,4.33,sales velocity is in the bottom 35% of category/store peers; recent sales trend is declining strongly,smallest candidate meeting the scenario uplift and revenue guardrails
FOODS_3_298_TX_3_evaluation,FOODS_3_298,TX_3,FOODS,MEDIUM,3,0.1765,1.042,0.214,-0.1111,18.73,-3.0,historical_association,278,5,1.215,21.62,sales velocity is in the bottom 35% of category/store peers; recent sales trend is declining; near-term forecast is below its recent demand rate,smallest candidate meeting the scenario uplift and revenue guardrails
FOODS_1_164_CA_2_evaluation,FOODS_1_164,CA_2,FOODS,MEDIUM,3,0.1765,1.79,0.429,-0.0952,5.64,-0.658,historical_association,209,10,1.918,9.74,sales velocity is in the bottom 35% of category/store peers; recent sales trend is declining; near-term forecast is below its recent demand rate,smallest candidate meeting the scenario uplift and revenue guardrails
HOBBIES_1_155_WI_1_evaluation,HOBBIES_1_155,WI_1,HOBBIES,MEDIUM,3,0.1765,0.877,0.107,-0.0625,18.98,-1.0,fallback,152,5,0.923,16.65,sales velocity is in the bottom 35% of category/store peers; recent sales trend is declining; near-term forecast is below its recent demand rate,smallest candidate meeting the scenario uplift and revenue guardrails
HOBBIES_1_410_WI_3_evaluation,HOBBIES_1_410,WI_3,HOBBIES,MEDIUM,3,0.2059,0.877,0.071,-0.125,28.96,-1.0,fallback,150,5,0.923,25.4,sales velocity is in the bottom 35% of category/store peers; recent sales trend is declining; near-term forecast is below its recent demand rate,smallest candidate meeting the scenario uplift and revenue guardrails
HOBBIES_2_146_WI_3_evaluation,HOBBIES_2_146,WI_3,HOBBIES,MEDIUM,3,0.2059,0.877,0.071,-0.125,1.97,-1.0,fallback,278,5,0.923,1.73,sales velocity is in the bottom 35% of category/store peers; recent sales trend is declining; near-term forecast is below its recent demand rate,smallest candidate meeting the scenario uplift and revenue guardrails
HOBBIES_1_107_CA_4_evaluation,HOBBIES_1_107,CA_4,HOBBIES,MEDIUM,3,0.2059,0.877,0.107,-0.0625,3.97,-1.0,fallback,171,5,0.923,3.48,sales velocity is in the bottom 35% of category/store peers; recent sales trend is declining; near-term forecast is below its recent demand rate,smallest candidate meeting the scenario uplift and revenue guardrails
FOODS_1_016_CA_1_evaluation,FOODS_1_016,CA_1,FOODS,MEDIUM,3,0.2353,5.209,0.714,-0.2857,2.26,-3.0,historical_association,278,5,6.076,13.04,sales velocity is in the bottom 35% of category/store peers; recent sales trend is declining strongly,smallest candidate meeting the scenario uplift and revenue guardrails
FOODS_1_160_CA_4_evaluation,FOODS_1_160,CA_4,FOODS,MEDIUM,3,0.2353,1.79,0.429,-0.1818,2.24,-1.0,fallback,74,5,1.884,4.01,sales velocity is in the bottom 35% of category/store peers; recent sales trend is declining; near-term forecast is below its recent demand rate,smallest candidate meeting the scenario uplift and revenue guardrails
FOODS_3_033_CA_2_evaluation,FOODS_3_033,CA_2,FOODS,MEDIUM,3,0.2353,2.349,0.5,-0.1739,2.5,-1.0,fallback,122,5,2.472,5.87,sales velocity is in the bottom 35% of category/store peers; recent sales trend is declining; near-term forecast is below its recent demand rate,smallest candidate meeting the scenario uplift and revenue guardrails
FOODS_2_015_TX_2_evaluation,FOODS_2_015,TX_2,FOODS,MEDIUM,3,0.2647,2.396,0.357,-0.2727,2.36,-1.0,fallback,110,5,2.522,5.65,sales velocity is in the bottom 35% of category/store peers; recent sales trend is declining strongly,smallest candidate meeting the scenario uplift and revenue guardrails
FOODS_3_013_TX_1_evaluation,FOODS_3_013,TX_1,FOODS,MEDIUM,3,0.2647,2.255,0.214,-0.2105,2.58,-1.0,fallback,278,5,2.374,5.82,sales velocity is in the bottom 35% of category/store peers; recent sales trend is declining strongly,smallest candidate meeting the scenario uplift and revenue guardrails
HOUSEHOLD_2_106_TX_1_evaluation,HOUSEHOLD_2_106,TX_1,HOUSEHOLD,MEDIUM,3,0.2812,0.877,0.143,-0.1176,8.44,-1.0,fallback,272,5,0.923,7.4,sales velocity is in the bottom 35% of category/store peers; recent sales trend is declining; near-term forecast is below its recent demand rate,smallest candidate meeting the scenario uplift and revenue guardrails
FOODS_1_136_CA_2_evaluation,FOODS_1_136,CA_2,FOODS,MEDIUM,3,0.2941,4.047,0.607,-0.3333,4.86,-3.0,historical_association,278,5,4.72,21.79,sales velocity is in the bottom 35% of category/store peers; recent sales trend is declining strongly,smallest candidate meeting the scenario uplift and revenue guardrails
FOODS_3_314_WI_2_evaluation,FOODS_3_314,WI_2,FOODS,MEDIUM,3,0.2941,3.652,0.607,-0.2692,2.48,-3.0,historical_association,278,5,4.26,10.04,sales velocity is in the bottom 35% of category/store peers; recent sales trend is declining strongly,smallest candidate meeting the scenario uplift and revenue guardrails
HOBBIES_1_424_WI_2_evaluation,HOBBIES_1_424,WI_2,HOBBIES,MEDIUM,3,0.2941,0.877,0.143,-0.1176,1.77,-1.083,historical_association,278,5,0.927,1.56,sales velocity is in the bottom 35% of category/store peers; recent sales trend is declining; near-term forecast is below its recent demand rate,smallest candidate meeting the scenario uplift and revenue guardrails
FOODS_3_581_CA_4_evaluation,FOODS_3_581,CA_4,FOODS,MEDIUM,3,0.2941,2.349,0.5,-0.0909,3.48,-0.812,historical_association,278,10,2.558,8.01,sales velocity is in the bottom 35% of category/store peers; recent sales trend is declining; near-term forecast is below its recent demand rate,smallest candidate meeting the scenario uplift and revenue guardrails
HOUSEHOLD_2_457_WI_1_evaluation,HOUSEHOLD_2_457,WI_1,HOUSEHOLD,MEDIUM,3,0.3125,1.213,0.286,-0.2,6.47,-1.0,fallback,278,5,1.276,7.85,sales velocity is in the bottom 35% of category/store peers; recent sales trend is declining; near-term forecast is below its recent demand rate,smallest candidate meeting the scenario uplift and revenue guardrails
FOODS_1_195_TX_3_evaluation,FOODS_1_195,TX_3,FOODS,MEDIUM,3,0.3235,3.855,0.571,-0.3077,2.24,-1.0,fallback,278,5,4.058,8.63,sales velocity is in the bottom 35% of category/store peers; recent sales trend is declining strongly,smallest candidate meeting the scenario uplift and revenue guardrails
FOODS_2_227_TX_3_evaluation,FOODS_2_227,TX_3,FOODS,MEDIUM,3,0.3235,3.223,0.571,-0.24,4.48,-1.0,fallback,165,5,3.393,14.44,sales velocity is in the bottom 35% of category/store peers; recent sales trend is declining strongly,smallest candidate meeting the scenario uplift and revenue guardrails
FOODS_1_178_TX_1_evaluation,FOODS_1_178,TX_1,FOODS,MEDIUM,2,0.0588,1.752,0.036,0.0714,9.98,-2.549,historical_association,278,5,1.996,18.93,sales velocity is in the bottom 15% of category/store peers,smallest candidate meeting the scenario uplift and revenue guardrails
FOODS_2_158_CA_2_evaluation,FOODS_2_158,CA_2,FOODS,MEDIUM,2,0.0588,1.752,0.036,0.0714,1.28,-1.0,fallback,52,5,1.844,2.24,sales velocity is in the bottom 15% of category/store peers,smallest candidate meeting the scenario uplift and revenue guardrails
FOODS_1_033_TX_2_evaluation,FOODS_1_033,TX_2,FOODS,MEDIUM,2,0.0588,1.752,0.036,0.0714,6.27,-1.985,historical_association,201,5,1.939,11.55,sales velocity is in the bottom 15% of category/store peers,smallest candidate meeting the scenario uplift and revenue guardrails
FOODS_1_033_WI_1_evaluation,FOODS_1_033,WI_1,FOODS,MEDIUM,2,0.0588,1.752,0.036,0.0714,7.27,-1.0,fallback,206,5,1.844,12.73,sales velocity is in the bottom 15% of category/store peers,smallest candidate meeting the scenario uplift and revenue guardrails
FOODS_2_313_CA_4_evaluation,FOODS_2_313,CA_4,FOODS,MEDIUM,2,0.0588,1.752,0.036,0.0714,9.88,-1.0,fallback,248,5,1.844,17.31,sales velocity is in the bottom 15% of category/store peers,smallest candidate meeting the scenario uplift and revenue guardrails
HOUSEHOLD_1_436_WI_2_evaluation,HOUSEHOLD_1_436,WI_2,HOUSEHOLD,MEDIUM,2,0.0625,1.752,0.036,0.0714,9.97,-3.0,historical_association,278,5,2.043,19.35,sales velocity is in the bottom 15% of category/store peers,smallest candidate meeting the scenario uplift and revenue guardrails
HOUSEHOLD_1_388_CA_1_evaluation,HOUSEHOLD_1_388,CA_1,HOUSEHOLD,MEDIUM,2,0.0625,1.752,0.036,0.0714,3.47,-1.0,fallback,85,5,1.844,6.08,sales velocity is in the bottom 15% of category/store peers,smallest candidate meeting the scenario uplift and revenue guardrails
HOUSEHOLD_1_099_WI_1_evaluation,HOUSEHOLD_1_099,WI_1,HOUSEHOLD,MEDIUM,2,0.0625,1.752,0.036,0.0714,2.37,-1.0,fallback,276,5,1.844,4.15,sales velocity is in the bottom 15% of category/store peers,smallest candidate meeting the scenario uplift and revenue guardrails
HOBBIES_1_011_CA_4_evaluation,HOBBIES_1_011,CA_4,HOBBIES,MEDIUM,2,0.0882,1.752,0.036,0.0714,3.48,-1.0,fallback,213,5,1.844,6.1,sales velocity is in the bottom 15% of category/store peers,smallest candidate meeting the scenario uplift and revenue guardrails
HOBBIES_1_174_WI_3_evaluation,HOBBIES_1_174,WI_3,HOBBIES,MEDIUM,2,0.0882,1.752,0.036,0.0714,4.88,-1.0,fallback,214,5,1.844,8.55,sales velocity is in the bottom 15% of category/store peers,smallest candidate meeting the scenario uplift and revenue guardrails
HOBBIES_2_129_CA_4_evaluation,HOBBIES_2_129,CA_4,HOBBIES,MEDIUM,2,0.0882,1.752,0.036,0.0714,0.23,-1.0,fallback,216,5,1.844,0.4,sales velocity is in the bottom 15% of category/store peers,smallest candidate meeting the scenario uplift and revenue guardrails
HOBBIES_1_070_WI_1_evaluation,HOBBIES_1_070,WI_1,HOBBIES,MEDIUM,2,0.1176,1.752,0.071,0.0,5.88,-1.0,fallback,210,5,1.844,10.3,sales velocity is in the bottom 15% of category/store peers,smallest candidate meeting the scenario uplift and revenue guardrails
FOODS_1_179_CA_4_evaluation,FOODS_1_179,CA_4,FOODS,MEDIUM,2,0.1176,2.482,0.286,0.0,3.58,-1.0,fallback,63,5,2.612,8.88,sales velocity is in the bottom 15% of category/store peers,smallest candidate meeting the scenario uplift and revenue guardrails
FOODS_3_268_WI_2_evaluation,FOODS_3_268,WI_2,FOODS,MEDIUM,2,0.1176,2.311,0.214,0.0,2.28,-1.0,fallback,213,5,2.432,5.27,sales velocity is in the bottom 15% of category/store peers,smallest candidate meeting the scenario uplift and revenue guardrails
HOBBIES_1_027_TX_1_evaluation,HOBBIES_1_027,TX_1,HOBBIES,MEDIUM,2,0.1176,1.752,0.036,0.0714,19.98,-1.0,fallback,119,5,1.844,35.0,sales velocity is in the bottom 15% of category/store peers,smallest candidate meeting the scenario uplift and revenue guardrails
HOBBIES_1_305_WI_2_evaluation,HOBBIES_1_305,WI_2,HOBBIES,MEDIUM,2,0.1176,1.752,0.036,0.0714,2.87,-1.0,fallback,278,5,1.844,5.03,sales velocity is in the bottom 15% of category/store peers,smallest candidate meeting the scenario uplift and revenue guardrails
FOODS_2_213_WI_3_evaluation,FOODS_2_213,WI_3,FOODS,MEDIUM,2,0.1176,3.323,0.214,0.125,3.78,-3.0,historical_association,170,5,3.875,13.92,sales velocity is in the bottom 15% of category/store peers,smallest candidate meeting the scenario uplift and revenue guardrails
HOBBIES_2_084_CA_1_evaluation,HOBBIES_2_084,CA_1,HOBBIES,MEDIUM,2,0.1176,1.38,0.143,0.1333,5.97,-1.0,fallback,131,5,1.453,8.24,sales velocity is in the bottom 15% of category/store peers,smallest candidate meeting the scenario uplift and revenue guardrails
FOODS_3_017_TX_3_evaluation,FOODS_3_017,TX_3,FOODS,MEDIUM,2,0.1176,1.752,0.179,0.2,1.98,-1.0,fallback,278,5,1.844,3.47,sales velocity is in the bottom 15% of category/store peers,smallest candidate meeting the scenario uplift and revenue guardrails
HOUSEHOLD_1_209_CA_4_evaluation,HOUSEHOLD_1_209,CA_4,HOUSEHOLD,MEDIUM,2,0.125,1.752,0.036,0.0714,3.47,-1.0,fallback,85,5,1.844,6.08,sales velocity is in the bottom 15% of category/store peers,smallest candidate meeting the scenario uplift and revenue guardrails
HOUSEHOLD_2_033_WI_2_evaluation,HOUSEHOLD_2_033,WI_2,HOUSEHOLD,MEDIUM,2,0.125,1.752,0.071,0.1429,6.97,-1.0,fallback,278,5,1.844,12.21,sales velocity is in the bottom 15% of category/store peers,smallest candidate meeting the scenario uplift and revenue guardrails
FOODS_3_696_TX_1_evaluation,FOODS_3_696,TX_1,FOODS,MEDIUM,2,0.1471,1.752,0.071,0.0,4.54,-1.0,fallback,95,5,1.844,7.95,sales velocity is in the bottom 15% of category/store peers,smallest candidate meeting the scenario uplift and revenue guardrails
FOODS_1_090_TX_1_evaluation,FOODS_1_090,TX_1,FOODS,MEDIUM,2,0.1471,1.752,0.071,0.0,3.54,-1.0,fallback,278,5,1.844,6.2,sales velocity is in the bottom 15% of category/store peers,smallest candidate meeting the scenario uplift and revenue guardrails
HOUSEHOLD_1_152_TX_2_evaluation,HOUSEHOLD_1_152,TX_2,HOUSEHOLD,MEDIUM,2,0.1562,0.877,0.071,0.1429,9.98,-1.0,fallback,164,5,0.923,8.75,sales velocity is in the bottom 35% of category/store peers; near-term forecast is below its recent demand rate,smallest candidate meeting the scenario uplift and revenue guardrails
HOBBIES_1_325_WI_2_evaluation,HOBBIES_1_325,WI_2,HOBBIES,MEDIUM,2,0.1765,0.877,0.071,0.0,6.44,-1.0,fallback,172,5,0.923,5.65,sales velocity is in the bottom 35% of category/store peers; near-term forecast is below its recent demand rate,smallest candidate meeting the scenario uplift and revenue guardrails
HOUSEHOLD_2_189_WI_1_evaluation,HOUSEHOLD_2_189,WI_1,HOUSEHOLD,MEDIUM,2,0.1875,1.916,0.214,-0.1111,14.48,-1.0,fallback,225,5,2.017,27.75,sales velocity is in the bottom 35% of category/store peers; recent sales trend is declining,smallest candidate meeting the scenario uplift and revenue guardrails
